time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.10755527729e-07,4.716875243e-07,10.0056861284,0.000369306193782,0.000263671042457,0.0,-2.69352591056e-05,3.95481051973e-05,0.189524461079,0.0162620346437,0.0119866903288,0.0,464.8035045995943,465.7417192107979,462.96214549185305,464.23960102410547
0.12000000000000001,-1.22665809871e-05,1.53162149509e-05,10.0221860067,0.00126068321139,0.00181174115928,0.0,-0.000509084152572,0.000560464622901,0.360432259635,0.011885256129,0.0445767913432,0.0,457.0965671065254,459.68604807107846,459.58745835034676,459.24037334043635
0.18,-9.07141265089e-05,7.78051599991e-05,10.046918157,0.0016495232891,0.00410269174885,0.0,-0.002365211772,0.00158213054939,0.463935029551,-0.00744186229088,0.0206116211791,0.0,439.43598304436784,437.44589959856705,438.6911688427884,437.08358976559504
0.23999999999999996,-0.000334829062872,0.000209350033373,10.0805256066,0.000927789544032,0.00477383706527,0.0,-0.005901968766,0.00273741285285,0.656221731309,-0.0232978813861,-0.025014164172,0.0,468.06034371311733,464.496501234395,465.3732676226594,464.13079015344346
0.3,-0.000780506164947,0.000387130322552,10.122598033,6.28244414078,0.00286522551342,0.0,-0.00878802541245,0.00303646378443,0.746138381584,-0.0388714818034,-0.0510455529137,0.0,434.94530165617647,432.75944087251025,435.0993444114009,433.79347445183623
0.36000000000000004,-0.00134638451264,0.00054994662014,10.1663906155,6.28035285632,0.000100725277332,0.0,-0.00983583610243,0.00220933215456,0.713635752546,-0.0278375141957,-0.0376354507721,0.0,392.6905841682848,393.9307894484425,392.57854826504695,393.6001820782083
0.4200000000000001,-0.00192799139094,0.000598837455753,10.2182329908,6.27881529055,6.28071321699,0.0,-0.00923683229882,-0.000789751258748,1.0142251207,-0.0215348346372,-0.0562554751195,0.0,497.60225514120026,496.2366165932893,496.93473005922925,497.39640454508435
0.48000000000000015,-0.00242687838298,0.00046949210751,10.2793244537,6.27802142326,6.27688845095,0.0,-0.00708121268614,-0.00361058905234,1.02214833537,-0.000360543456113,-0.0861792268128,0.0,408.54021576519943,405.8598640517414,407.2611788001772,409.1505237571489
0.5400000000000001,-0.00272735505956,0.000164379530987,10.3401378769,6.27814738081,6.27138114124,0.0,-0.00248545728994,-0.00655513118965,1.00497758427,0.00661392114803,-0.106406549025,0.0,399.5430845142216,397.686434238508,399.23938701706624,399.87512450505994
0.6000000000000002,-0.00259405565525,-0.000336992186294,10.4045273695,6.27828521898,6.26501627038,0.0,0.00761153041681,-0.0101259323023,1.14120305918,-0.00815404958425,-0.10543880021,0.0,449.30907621820853,449.3777963434679,449.85067903500334,448.65336265628395
0.6600000000000003,-0.00172940122566,-0.00104995174252,10.4764425914,6.27758040136,6.25887661837,0.0,0.0218566034191,-0.0136996712412,1.25583816679,-0.0201273126327,-0.0967403029851,0.0,441.81858389463815,442.52590493943933,444.07400705539106,443.0909875015877
0.7200000000000003,0.000148798351475,-0.00200170144682,10.5564581044,6.27666953307,6.25272420923,0.0,0.0414001450344,-0.0181392551708,1.41114829608,-0.00677491689789,-0.117837123717,0.0,456.6746859342423,454.97981993446206,455.1494509079746,456.21680343065117
0.7800000000000004,0.00329655982186,-0.00322743886391,10.6443903841,6.27669634705,6.24646302465,0.0,0.0642004070197,-0.0227341999313,1.51976615883,0.0119648437527,-0.0859020978336,0.0,440.29877321082876,442.9224748311781,441.06003456402,442.6048939528342
0.8400000000000004,0.00780399066608,-0.00470223837566,10.7353363206,6.27706184899,6.24224592354,0.0,0.0864412853002,-0.0263758818806,1.51175974351,-0.00949169069911,-0.0498786731201,0.0,401.5459213456324,404.795422986689,405.1872765070755,403.2538018735568
0.9000000000000005,0.013877303226,-0.00641796400216,10.829753962,6.27615226037,6.23958140314,0.0,0.11629162394,-0.0308881536419,1.63531150941,-0.030000380925,-0.0352540192897,0.0,446.1409070350935,447.33211952028086,447.6176752141417,445.945773149824
0.9600000000000005,0.021865518008,-0.00843991191633,10.9331757241,6.27474123342,6.23751459373,0.0,0.150206934413,-0.0366872762437,1.811803309,-0.0129691555642,-0.0328797441752,0.0,463.54218442614473,463.7282674417731,462.38689479786234,463.7264858684524
1.0200000000000005,0.0317415455171,-0.0108021745645,11.0429761998,6.2740007314,6.23515059437,0.0,0.179186564269,-0.0421245125207,1.84814214175,-0.0111154514348,-0.0574783700444,0.0,421.7035089146663,419.5723798387696,418.78074670416385,418.9420573234663
1.0800000000000005,0.0435612839931,-0.0135339759787,11.1581549916,6.27295225736,6.23194969192,0.0,0.21515106336,-0.0490209430028,1.99089092422,-0.0349096130032,-0.0461590185328,0.0,453.4229990530017,454.32954601700027,454.7763902878697,452.86664704575674
1.1400000000000006,0.057549439126,-0.0166967610461,11.2807977863,6.27073636346,6.22936834087,0.0,0.251384197088,-0.0566244377477,2.09699236055,-0.0413165242344,-0.0373917692354,0.0,442.0472396379123,442.76802036144466,443.8936712050126,443.3669795230649
1.2000000000000006,0.0738171459502,-0.0203762468623,11.4107977886,6.26812236215,6.22724877524,0.0,0.291091393769,-0.0662954480324,2.23605748404,-0.0484950255784,-0.0314862433074,0.0,453.46577314527053,453.9393688789251,454.02239265668965,453.44508102681976
1.2600000000000007,0.0924797784062,-0.0246853828283,11.548570819,6.26560702745,6.22551020678,0.0,0.331170419289,-0.0776205351035,2.3561156919,-0.0312564090267,-0.0243778075359,0.0,448.06346540237985,448.6407293313743,447.8402421610712,449.2391588569467
